Station Number,Station,Date,Riding Type,01AM-02AM,02AM-03AM,03AM-04AM,04AM-05AM,05AM-06AM,06AM-07AM,07AM-8AM,08AM-09AM,09AM-10AM,10AM-11AM,11AM-12PM,12PM-13PM,13PM-14PM,14PM-15PM,15PM-16PM,16PM-17PM,17PM-18PM,18PM-19PM,19PM-20PM,20PM-21PM,21PM-22PM,22PM-23PM,23PM-24AM,24AM-01AM
129,Jangjeon,2024.1.1,alighting,0,0,0,0,85,151,140,218,384,329,317,276,347,365,439,488,482,447,432,429,367,414,237,55
130,Guseo,2024.1.1,boarding,0,0,0,3,147,157,158,175,180,273,374,333,395,390,439,359,379,342,218,196,160,92,42,9
130,Guseo,2024.1.1,alighting,0,0,0,0,4,146,88,148,290,282,249,293,329,334,329,386,416,398,258,261,192,158,98,23
131,Dusil,2024.1.1,boarding,0,0,0,8,127,154,134,160,194,198,290,314,349,282,242,250,209,172,111,101,63,59,32,3
131,Dusil,2024.1.1,alighting,0,0,0,1,5,101,88,109,177,174,133,147,183,173,217,237,285,274,170,178,154,145,83,31
132,Namsan,2024.1.1,boarding,0,0,0,4,99,79,79,104,173,199,210,264,232,241,206,231,231,162,128,78,98,56,35,2
132,Namsan,2024.1.1,alighting,0,0,0,0,3,110,49,82,101,116,101,153,144,190,193,263,228,202,185,179,183,134,89,41
133,Beomeosa,2024.1.1,boarding,0,0,0,4,91,114,109,182,317,336,392,514,546,587,570,503,391,264,117,94,68,44,14,1
133,Beomeosa,2024.1.1,alighting,0,0,0,0,0,194,99,171,398,505,455,359,374,275,310,252,239,247,161,161,130,106,82,33
134,Nopo,2024.1.1,boarding,0,0,0,18,76,73,110,173,266,442,541,656,735,846,859,786,748,730,641,468,431,381,91,0
134,Nopo,2024.1.1,alighting,0,0,0,2,4,297,369,383,622,766,792,712,902,917,887,860,700,672,441,299,301,190,139,52
201,Jangsan,2024.1.1,boarding,0,0,0,8,147,459,413,319,347,341,495,504,585,636,647,712,848,766,441,426,389,242,100,0
201,Jangsan,2024.1.1,alighting,0,0,0,0,1,458,224,617,440,452,378,511,484,607,614,572,552,519,417,550,379,277,141,86
202,Jung-dong,2024.1.1,boarding,0,0,0,2,44,129,116,318,242,270,309,325,394,386,428,462,474,484,194,198,170,106,48,3
202,Jung-dong,2024.1.1,alighting,0,0,0,0,1,312,137,261,235,315,316,263,353,341,369,316,313,236,204,271,145,129,76,22
203,Haeundae,2024.1.1,boarding,0,0,0,61,200,162,292,4422,1346,925,1141,1067,1059,1115,1315,1230,1231,1323,844,758,621,450,166,4
203,Haeundae,2024.1.1,alighting,0,0,0,1,38,4102,3211,455,468,557,900,1042,1140,1045,954,957,854,680,556,763,361,261,142,24
204,Dongbaek,2024.1.1,boarding,0,0,0,4,39,86,99,533,314,264,262,328,291,337,338,325,369,342,152,148,139,90,30,2
204,Dongbaek,2024.1.1,alighting,0,0,0,0,12,692,402,186,205,189,221,255,234,294,263,308,319,305,197,231,172,136,79,16
205,BEXCO(Busan Museum of Art),2024.1.1,boarding,0,0,0,0,55,754,454,180,333,281,412,401,445,457,437,452,648,532,304,266,125,103,34,2
205,BEXCO(Busan Museum of Art),2024.1.1,alighting,0,0,0,0,36,328,162,680,299,298,317,369,387,310,420,379,399,349,331,404,261,183,86,12
206,Centum City,2024.1.1,boarding,0,0,0,1,61,586,239,134,208,288,449,514,557,705,664,693,795,763,449,361,301,291,76,4
206,Centum City,2024.1.1,alighting,0,0,0,0,5,172,166,809,492,389,501,499,660,585,640,575,447,385,314,323,170,123,60,21
207,Millak,2024.1.1,boarding,0,0,0,0,42,190,77,102,135,122,130,154,171,131,125,169,135,173,63,63,57,34,17,1
207,Millak,2024.1.1,alighting,0,0,0,0,7,84,51,105,88,75,87,113,114,127,121,183,190,132,108,102,79,70,27,11
208,Suyeong,2024.1.1,boarding,0,1,0,21,423,539,342,488,553,496,496,588,574,556,508,504,489,482,376,463,325,204,136,6
208,Suyeong,2024.1.1,alighting,0,1,0,2,44,247,130,457,277,260,374,385,445,502,616,630,630,608,478,378,387,302,181,50
209,Gwangan,2024.1.1,boarding,0,3,0,184,728,289,294,3658,871,492,567,613,642,571,639,647,606,490,1994,1484,744,382,170,15
209,Gwangan,2024.1.1,alighting,0,6,0,3,58,3168,1551,241,210,277,439,654,706,755,859,1009,1617,3265,580,342,266,174,108,51
210,Geumnyeonsan,2024.1.1,boarding,0,0,0,83,316,126,207,1874,497,300,377,348,441,366,441,357,303,243,774,570,373,185,114,0
210,Geumnyeonsan,2024.1.1,alighting,0,0,0,1,164,1186,964,128,181,190,258,282,343,377,396,420,622,950,260,181,135,99,68,21
211,Namcheon,2024.1.1,boarding,0,0,0,13,135,114,84,303,195,166,211,234,217,229,237,219,258,218,140,163,143,87,42,2
211,Namcheon,2024.1.1,alighting,0,0,0,1,61,353,114,150,136,171,163,183,191,234,220,255,236,239,139,132,112,91,59,13
212,Kyungsung Univ·Pukyong Nat\'l Univ.,2024.1.1,boarding,0,1,0,10,391,557,223,340,428,404,340,427,439,477,568,605,690,684,379,326,269,267,167,9
212,Kyungsung Univ·Pukyong Nat\'l Univ.,2024.1.1,alighting,0,0,1,0,134,278,131,472,276,276,340,407,405,539,535,693,628,640,574,513,484,442,235,59
213,Daeyeon,2024.1.1,boarding,0,0,0,0,155,439,205,230,349,341,425,446,414,412,310,361,380,347,187,162,146,92,39,2
213,Daeyeon,2024.1.1,alighting,0,0,0,0,54,125,104,435,209,224,227,262,293,312,421,391,450,378,351,357,280,257,174,15
214,Motgol,2024.1.1,boarding,0,0,0,0,63,210,93,91,134,124,188,198,169,140,158,159,177,134,65,58,40,17,21,2
214,Motgol,2024.1.1,alighting,0,0,0,0,24,93,44,153,123,72,117,118,119,163,207,198,203,176,151,155,119,83,46,7
215,Jigegol,2024.1.1,boarding,0,0,0,1,52,83,53,78,76,87,87,97,100,90,88,97,94,62,44,34,25,11,8,0
215,Jigegol,2024.1.1,alighting,0,0,0,0,13,30,32,65,86,61,56,72,82,91,123,122,138,113,70,92,42,41,22,3
216,Munhyeon,2024.1.1,boarding,0,0,0,2,93,285,79,85,128,145,164,217,180,157,142,178,170,181,85,71,58,48,5,1
216,Munhyeon,2024.1.1,alighting,0,0,0,0,38,65,61,241,133,83,105,116,143,139,148,188,150,195,92,160,118,81,69,12
217,Busan Intn'l Finance Center·Busan Bank,2024.1.1,boarding,1,0,0,0,53,134,46,68,91,101,131,123,151,127,116,153,146,112,62,53,40,41,14,4
217,Busan Intn'l Finance Center·Busan Bank,2024.1.1,alighting,0,0,0,0,18,34,49,137,95,76,107,94,149,111,149,107,150,133,90,121,91,61,42,9
218,Jeonpo,2024.1.1,boarding,0,2,0,2,180,444,127,152,137,171,184,206,286,348,444,426,506,448,325,316,234,214,145,3
218,Jeonpo,2024.1.1,alighting,0,0,2,0,72,65,51,252,276,263,393,522,594,554,543,607,547,519,346,302,256,178,92,29
219,Seomyeon,2024.1.1,boarding,5,0,0,16,1123,1287,483,295,377,511,648,985,1075,1219,1428,1572,1400,1295,997,876,750,611,439,3
219,Seomyeon,2024.1.1,alighting,0,0,0,0,165,179,160,867,986,768,1034,1255,1341,1451,1234,1180,1052,1015,653,748,418,316,174,65
220,Buam,2024.1.1,boarding,0,0,0,1,139,323,98,120,162,165,194,182,185,173,194,217,210,202,113,88,65,53,24,1
220,Buam,2024.1.1,alighting,0,0,0,1,47,81,67,189,128,115,126,128,155,154,185,207,234,210,141,165,156,104,56,15
221,Gaya,2024.1.1,boarding,0,0,0,1,105,171,88,121,147,122,172,185,181,148,115,118,103,88,85,48,39,15,11,1
221,Gaya,2024.1.1,alighting,0,0,0,0,19,41,47,107,101,77,83,85,120,112,161,206,205,170,133,81,88,54,35,10
222,Dongeui Univ.,2024.1.1,boarding,0,0,0,0,169,286,77,117,147,168,220,218,202,209,193,170,197,145,74,89,53,40,26,1
222,Dongeui Univ.,2024.1.1,alighting,0,0,0,0,47,61,51,116,182,130,121,141,133,199,180,247,178,217,147,139,151,91,84,8
223,Gaegeum,2024.1.1,boarding,0,0,0,1,209,317,111,165,207,241,397,291,319,273,250,304,271,214,129,96,88,45,28,6
223,Gaegeum,2024.1.1,alighting,0,0,0,1,73,106,73,256,234,186,182,190,251,270,310,378,338,309,194,228,207,156,94,24
224,Naengjeong,2024.1.1,boarding,0,0,0,2,126,175,70,97,121,166,186,164,178,214,179,234,203,150,77,76,55,43,24,4
224,Naengjeong,2024.1.1,alighting,0,0,0,0,84,73,59,110,169,85,98,95,136,112,195,181,166,175,117,163,130,115,129,20
225,Jurye,2024.1.1,boarding,1,0,0,0,174,241,102,110,186,215,256,251,269,233,231,195,215,181,101,64,54,37,21,3
225,Jurye,2024.1.1,alighting,0,0,0,0,37,107,68,145,154,129,152,136,164,161,241,286,257,201,167,162,145,120,67,26
226,Gamjeon,2024.1.1,boarding,0,0,0,0,45,56,42,61,95,163,113,146,110,213,111,129,87,65,45,36,33,13,2,3
