Date,Line Number,Station Number,Station,Ride Type,Before 6AM,06AM-07AM,07AM - 08AM,08AM - 09AM,09AM-10AM,10AM-11AM,11AM-12PM,12PM-13PM,13PM-14PM,14PM-15PM,15PM-16PM,16PM-17PM,17PM-18PM,18PM-19PM,19PM-20PM,20PM-21PM,21PM-22PM,22PM-23PM,23PM-24AM,After 24AM
2023.12.31,2,249,Sinjeongnegeori,boarding,112,145,166,306,435,456,438,477,481,484,365,350,315,223,229,184,193,127,58,26
2023.12.31,2,249,Sinjeongnegeori,alighting,28,75,69,142,159,184,216,228,293,316,373,467,509,485,403,383,365,343,202,79
2023.12.31,2,250,Yongdu (Dongdaemun-gu Office),boarding,16,21,18,57,66,81,82,111,122,146,108,106,102,79,73,51,37,37,15,6
2023.12.31,2,250,Yongdu (Dongdaemun-gu Office),alighting,2,12,21,17,53,58,81,72,138,120,119,97,94,91,81,72,67,46,38,25
2023.12.31,3,309,Jichuk,boarding,30,84,97,218,264,298,293,334,273,325,304,273,255,197,186,166,157,128,38,15
2023.12.31,3,309,Jichuk,alighting,17,52,53,100,138,178,155,233,251,230,241,271,304,295,295,243,227,199,113,35
2023.12.31,3,310,Gupabal,boarding,127,185,302,540,689,745,773,951,940,978,1062,1112,930,860,693,640,532,493,130,44
2023.12.31,3,310,Gupabal,alighting,17,154,190,329,571,821,786,804,914,1028,947,973,994,995,767,701,652,551,420,639
2023.12.31,3,311,Yeonsinnae,boarding,348,467,652,1034,1580,1476,1374,1632,1704,1651,1517,1683,1457,1271,1048,925,934,824,311,80
2023.12.31,3,311,Yeonsinnae,alighting,39,239,249,444,695,858,809,1062,1194,1361,1488,1617,1804,1906,1584,1373,1576,1334,881,708
2023.12.31,3,312,Bulgwang,boarding,125,181,265,413,634,695,626,780,763,853,895,1024,851,641,466,451,393,350,100,44
2023.12.31,3,312,Bulgwang,alighting,13,87,131,237,573,652,672,686,936,907,825,851,853,865,738,667,561,575,331,358
2023.12.31,3,313,Nokbeon,boarding,94,180,270,424,639,767,635,763,764,573,564,567,443,376,287,240,230,232,77,22
2023.12.31,3,313,Nokbeon,alighting,9,79,60,115,203,243,242,281,358,465,505,590,624,754,580,630,583,573,287,315
2023.12.31,3,314,Hongje,boarding,127,210,330,487,701,820,803,1099,988,890,792,872,702,558,452,390,329,268,117,52
2023.12.31,3,314,Hongje,alighting,31,122,178,202,352,508,405,429,595,678,739,883,898,890,798,658,698,622,420,390
2023.12.31,3,315,Muakjae,boarding,38,41,76,132,196,260,240,215,205,199,179,202,219,148,96,95,71,96,30,14
2023.12.31,3,315,Muakjae,alighting,5,24,38,58,47,74,102,102,154,156,224,205,242,245,211,183,192,175,103,138
2023.12.31,3,316,Dongnimmun,boarding,69,70,129,198,250,341,405,473,482,493,495,454,390,287,270,144,124,137,60,63
2023.12.31,3,316,Dongnimmun,alighting,16,90,83,136,280,419,273,307,354,330,353,332,323,299,258,210,188,208,114,150
2023.12.31,3,317,Gyeongbokgung (Government Complex-Seoul),boarding,51,73,133,239,412,543,763,1113,1489,1664,1897,2296,2329,1832,1649,1563,1281,965,284,2277
2023.12.31,3,317,Gyeongbokgung (Government Complex-Seoul),alighting,10,131,227,576,1042,1833,2134,2055,2256,2078,1955,1773,1606,1308,926,841,719,818,504,275
2023.12.31,3,318,Anguk,boarding,31,52,101,153,277,434,632,738,1136,1370,1685,2250,2453,2163,1454,1410,968,599,242,1509
2023.12.31,3,318,Anguk,alighting,32,183,283,555,1053,1341,1757,1842,2020,1837,1817,1795,1310,878,635,390,336,313,228,194
2023.12.31,3,319,Jongno 3(sam)ga,boarding,44,38,32,67,143,204,240,243,305,339,449,452,522,501,428,372,422,350,169,286
2023.12.31,3,319,Jongno 3(sam)ga,alighting,14,48,78,148,270,466,577,698,744,800,707,648,559,528,458,368,373,315,203,194
2023.12.31,3,320,Euljiro 3(sam)ga,boarding,15,42,57,95,165,308,423,383,435,410,467,532,487,517,459,440,452,383,199,410
2023.12.31,3,320,Euljiro 3(sam)ga,alighting,20,66,85,184,253,318,368,402,423,509,462,574,660,553,512,287,274,181,128,157
2023.12.31,3,321,Chungmuro,boarding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023.12.31,3,321,Chungmuro,alighting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023.12.31,3,322,Dongguk Univ.,boarding,37,45,53,95,142,175,290,313,414,388,418,527,753,693,432,517,284,406,103,669
2023.12.31,3,322,Dongguk Univ.,alighting,23,186,176,466,473,583,483,551,667,678,481,500,529,531,573,735,582,138,95,153
2023.12.31,3,323,Yaksu,boarding,98,121,178,287,366,503,426,635,645,564,580,572,503,462,364,385,365,335,167,95
2023.12.31,3,323,Yaksu,alighting,44,142,103,254,269,409,421,400,405,465,456,593,608,620,493,450,419,438,188,690
2023.12.31,3,324,Geumho,boarding,59,113,155,248,340,417,379,406,443,380,364,282,316,238,170,146,189,127,56,30
2023.12.31,3,324,Geumho,alighting,20,60,81,104,140,183,199,195,261,314,320,348,432,414,360,289,295,277,136,108
2023.12.31,3,325,Oksu,boarding,43,93,126,186,337,388,381,463,467,401,364,351,349,325,197,201,194,180,75,19
2023.12.31,3,325,Oksu,alighting,18,72,74,106,208,196,239,269,389,335,431,439,533,439,342,347,292,280,167,112
2023.12.31,3,326,Apgujeong,boarding,75,131,116,248,272,541,598,1022,1010,1222,1236,1597,1387,1342,1173,1506,1341,716,185,66
2023.12.31,3,326,Apgujeong,alighting,26,422,422,890,1489,1521,1627,1399,1609,1210,1088,1217,1176,979,677,450,409,438,145,244
2023.12.31,3,327,Sinsa,boarding,223,241,212,227,279,374,476,572,587,797,894,1104,1167,1044,1019,1024,1147,1007,378,79
2023.12.31,3,327,Sinsa,alighting,28,196,179,257,592,906,920,1024,1037,1098,1064,1205,1117,965,829,617,538,526,432,380
2023.12.31,3,328,Jamwon,boarding,20,52,56,103,151,153,173,221,217,199,159,177,210,121,88,93,89,64,29,18
2023.12.31,3,328,Jamwon,alighting,11,61,47,65,96,106,138,153,162,156,181,173,201,155,138,122,143,146,70,59
2023.12.31,3,329,Express Bus Terminal,boarding,143,116,224,461,800,1204,1837,2226,2564,3075,3617,4170,4006,3694,3167,3530,2161,1232,419,86
2023.12.31,3,329,Express Bus Terminal,alighting,113,743,878,1378,2606,2793,3124,3091,3472,3589,3454,3254,2928,2305,1750,1327,1022,700,348,203
2023.12.31,3,330,Seoul Nat'l Univ. of Education(Court & Prosecutors’ Office),boarding,32,74,81,105,185,209,235,376,415,386,440,376,411,372,377,292,300,268,121,12
